COLOR	NAME	DESCRIPTION	MINIMUM	MAXIMUM
11683444	SUR	CL213	212.1	214.1
13353849	SVK	CL214	213.1	215.1
3968632	SVN	CL215	214.1	216.1
8731724	SWE	CL216	215.1	217.1
10114131	SWZ	CL217	216.1	218.1
444332	SYC	CL218	217.1	219.1
14170500	SYR	CL219	218.1	220.1
9412718	TCA	CL220	219.1	221.1
11176477	TCD	CL221	220.1	222.1
7658511	TGO	CL222	221.1	223.1
8621848	THA	CL223	222.1	224.1
4809568	TJK	CL224	223.1	225.1
2066566	TKL	CL225	224.1	226.1
13424319	TKM	CL226	225.1	227.1
10336591	TLS	CL227	226.1	228.1
2195405	TON	CL228	227.1	229.1
8676227	TTO	CL229	228.1	230.1
1350579	TUN	CL230	229.1	231.1
13157559	TUR	CL231	230.1	232.1
14408685	TUV	CL232	231.1	233.1
568736	TWN	CL233	232.1	234.1
5916718	TZA	CL234	233.1	235.1
15362632	UGA	CL235	234.1	236.1
9611061	UKR	CL236	235.1	237.1
11768324	UMI	CL237	236.1	238.1
11448859	URY	CL238	237.1	239.1
8004765	USA	CL239	238.1	240.1
14953940	UZB	CL240	239.1	241.1
5699696	VAT	CL241	240.1	242.1
15039922	VCT	CL242	241.1	243.1
16025902	VEN	CL243	242.1	244.1
3438738	VGB	CL244	243.1	245.1
5959259	VIR	CL245	244.1	246.1
4421935	VNM	CL246	245.1	247.1
1418165	VUT	CL247	246.1	248.1
4447515	WLF	CL248	247.1	249.1
3032444	WSM	CL249	248.1	250.1
10522366	YEM	CL250	249.1	251.1
10962573	ZAF	CL251	250.1	252.1
905827	ZMB	CL252	251.1	253.1
8956380	ZWE	CL253	252.1	254.1
